commits_count,username_hash,lab
7,0756218966a3de7f262f33b4941be978,lab3
2,9a71cfe42c5ab9a94cac52bd1ae6356c,lab3
5,2f3994d4fa5b76d271754337724a388b,lab2
5,c318eaefca488edec5179913655d2f1b,lab3
2,b79d4b625d2e5bdd78ad57cf255c16af,lab2
5,fe8252ab8c3384290afd55fc3758afcc,lab2
14,13b0413742b61436fd25a6e0363d92c9,lab2
2,f69116ec893ab7c815c63a596ff253aa,lab2
4,abef6db0cdffdf4cf5583cc9173589b8,lab3
4,09d668b4e1bc5a0892b664613e175e2b,lab3
16,085d57fe815c1eb67f36507f83441316,lab2
4,133a7cd336509efa39908eecea0f3bb4,lab2
7,731012f1a69b2bb588940cbb6c0a04d9,lab3
7,40cc8a672b96683f48afed7f1eed0c50,lab2
2,68a3333e98bc3d8a634fc30a7fa57a29,lab2
9,d9a158e5c75f06b829ebae7dae5d4025,lab3
7,6493bc43b10c5e31303ef5fc3e25e0a2,lab3
6,d201efa9c4ba772471f906cf03d6357d,lab3
5,1e561fef0632921e83bebd552ebe5e2d,lab3
3,2326907be6a98bf7f28b8416768d419c,lab2
6,88dbaa988ae1c5f30d8002a8c6a3f6fb,lab3
3,6e6273f995dc4bd679aa32624059cc6e,lab2
8,e871cae210949c74230c2931c1543bb2,lab3
9,d169a3523365e3ce8c2697ec4a4824b0,lab3
16,d59c9118f7e2082998ec81c875d97dcb,lab2
1,39ace31e9c8fb5533fd83a34ddf58c7e,lab2
5,60a9b2f1b9523c710291cc35b8546c2a,lab3
3,14e5581df129337cfc974f82631290e8,lab2
4,305377baedb159d55e5501de4e8e5165,lab2
5,ce99cc69182cc1506ee0a60c720fabf3,lab3
3,130d28d5ea9b9301d046b2a2134fa78f,lab3
6,5239a564c6ee70bcdc34ce6d6b72c70d,lab3
7,3e7649bdd39a61d686b7584e506d68c3,lab3
5,5d1fa1e1e65c8af2f85ec610679e907d,lab3
2,41ad9a932b975d878a2b0051ccbc57a4,lab3
6,63717453c62cabdc95b1357180229d83,lab3
2,3aaf12b4b35463e704c704b27fb263b2,lab3
2,ae8e7d9c79a141b9266c01d768e1f980,lab3
6,38f82453e946a5f596cab64597657a9a,lab2
8,ab822aa43b4f3233eac71b072a7c1a21,lab3
9,a3e7eddb32f7471ea7d21f19b14a144d,lab3
1,4a71db7d5855d9131c9a0fa0af5f5196,lab2
4,337e8932134f8a39ad98b145040da767,lab2
5,dcb2433644d749fd8d8a162b9477c950,lab3
4,14792f6c5c7b9d673dd6b5d9636321f0,lab3
8,085d57fe815c1eb67f36507f83441316,lab3
3,25c0a623017143cc454d8921d67ac2a9,lab3
10,39ace31e9c8fb5533fd83a34ddf58c7e,lab3
6,af93541bef68d40dfc5c5a537127a806,lab3
8,c5142f0abca2887dc78c0ab7ca2293d1,lab3
3,66c09193d4c8c2ae29f04f1d0455961b,lab3
3,40cc8a672b96683f48afed7f1eed0c50,lab3
3,6e6273f995dc4bd679aa32624059cc6e,lab3
9,21e5b341f752510c45799efe6b431dc2,project1
3,13b0413742b61436fd25a6e0363d92c9,lab3
21,950ca423ded4c01cfb2e75de2b9629a9,project1
1,9b5ce16915a6a7c5b0c7246a356f6dc6,lab3
5,2f3994d4fa5b76d271754337724a388b,lab3
5,24293e260aaec3659c4605941a804222,lab3
26,cbda472bcf793112bfe10374854036a3,project1
3,fe8252ab8c3384290afd55fc3758afcc,lab3
8,f69116ec893ab7c815c63a596ff253aa,lab3
13,210108f739719558173c94322d89757b,project1
3,2d299427292671400eea27ff5fe92b5f,lab3
5,133a7cd336509efa39908eecea0f3bb4,lab3
2,68a3333e98bc3d8a634fc30a7fa57a29,lab3
15,22232d71f96a943769354d26419e8ec2,project1
11,4ef236dee38cdaadd228ae93679c7860,project1
3,305377baedb159d55e5501de4e8e5165,lab3
2,ca25c693fdfcfe7eaf2d8a3ccda3713e,lab3
7,14e5581df129337cfc974f82631290e8,lab3
2,37e5fe32203de34531cc840527e6f14e,lab3
32,644f8a552e7073267c670441267b5c6c,project1
2,38f82453e946a5f596cab64597657a9a,lab3
2,48324a3e37553bb47c01729e0a0631cf,lab3
2,206ba58fbac531e8e9af60a2cdf687d7,lab3
3,a87288247846018b601b15b544438d20,lab3
4,096095de56d8e7b68c88b84bc8ba16b2,lab3
2,0fca04105c00aa26700609f7281519b3,lab3
23,098fd96114780decb15d7811ba0c0afc,project1
15,1316c4e551645bdaba10ff15e681201b,project1
10,d539de47e94896b673c7e8b738006283,project1
4,d59c9118f7e2082998ec81c875d97dcb,lab3
2,2326907be6a98bf7f28b8416768d419c,lab3
19,fda0716eb19fea3cc5a67eb3122d4f66,project1
18,29be1098ae46eb5a85c170fb362e1f92,lab3
1,b79d4b625d2e5bdd78ad57cf255c16af,lab3
17,7dc85837aa2f1beab8efd3910f50f977,project1
6,52818c92ea755728efb1ad88e0a34eb1,project1
